id,e-search,e-entry,t-entry,e-cat,t-related,e-syn,e-ant
14471,change with,change with,เปลี่ยนที่กับ,PHRV,สลับที่กับ,exchange with,
14472,change with,change with,แลกเปลี่ยนตำแหน่งกับ,PHRV,เปลี่ยนที่กับ,exchange with,
14473,channel off,channel off,ทำทางผ่าน,PHRV,นำทางผ่าน,,
14474,channel off,channel off,นำไปใช้ได้หลากหลาย,PHRV,,,
14475,chapter and verse,chapter and verse,แหล่งข้อมูล,IDM,แหล่งข่าว,,
14476,chapter of accidents,chapter of accidents,เรื่องโชคร้ายมาเป็นลำดับหรือเป็นชุด,IDM,,,
14477,charge against,charge against,ลงบัญชี,PHRV,"บันทึกเข้า, จดเอาไว้",chalk up,
14478,charge against,charge against,ตำหนิ,PHRV,ติเตียน,hold against,
14479,charge at,charge at,พุ่งชน,PHRV,จู่โจม,,
14480,charge down,charge down,ลงบัญชี (หนี้สิน),PHRV,"บันทึกเข้า, จดเอาไว้",chalk up,
14481,charge for,charge for,คิดราคาสำหรับ,PHRV,,,
14482,charge into,charge into,วิ่งเข้าชน,PHRV,วิ่งชน,,
14483,charge off,charge off,ยอมรับความสูญเสีย,PHRV,,write off,
14484,charge off,charge off,ลงความเห็นว่า,PHRV,,,
14485,charge on,charge on,คิดราคาจาก,PHRV,"คิดจาก, เก็บเงิน (เช่นค่าภาษี)",,
14486,charge to,charge to,ลงบัญชี,PHRV,"บันทึกเข้า, จดเอาไว้",chalk up,
14487,charge up,charge up,ทำให้ตื่นเต้น,PHRV,,,
14488,charge up,charge up,ตกอยู่ใต้อำนาจของยา (คำไม่เป็นทางการ),PHRV,ตกอยู่ในอำนาจของฤทธิ์ยา,,
14489,charge with,charge with,ประกาศว่ามีความผิด,PHRV,,,
14490,charge with,charge with,มอบหมายหน้าที่ให้,PHRV,มอบให้,,
14491,charge with,charge with,เต็มไปด้วย (มักใช้รูป passive voice),PHRV,,,
14492,Charity begins at home.,Charity begins at home.,ควรช่วยเหลือคนในครอบครัวก่อนช่วยผู้อื่น,IDM,,,
14493,charm with,charm with,ทำให้หลงเสน่ห์ด้วยเวทมนตร์,PHRV,ทำให้หลงใหล,enchant by,
14494,charm with,charm with,ทำให้ยินดีด้วย(สิ่งที่น่ายินดี),PHRV,"ทำให้ปลื้ม, ทำให้หลงใหล",enchant by,
14495,chart out,chart out,วางแผน,PHRV,วางแผนงาน,,
14496,chase about,chase about,เล่นไปทั่ว,PHRV,วิ่งไล่กันไปทั่ว,,
14497,chase about,chase about,ตามจีบ,PHRV,ไล่จับ,,
14498,chase after,chase after,ไล่ตาม,PHRV,ติดตาม,,
14499,chase after,chase after,พยายามตามจีบหรือขอความรัก,PHRV,,,
14500,chase around,chase around,เล่นไปทั่ว,PHRV,วิ่งไล่กันไปทั่ว,chase about,
14501,chase down,chase down,ตามด้วย (เฉพาะการดื่มเหล้าหรือเครื่องดื่ม),PHRV,,,
14502,chase up,chase up,เร่ง,PHRV,"เตือน, กระตุ้น",,
14503,chat up,chat up,พูดคุยเล่น,PHRV,,,
14504,chaw up,chaw up,ทำให้พ่ายแพ้อย่างราบคาบ,PHRV,,,
14505,cheat at,cheat at,เล่นโกง (การเล่นเกม เช่น ไพ่),PHRV,,,
14506,cheat into,cheat into,หลอกลวง,PHRV,ล่อลวง,trick into,
14507,cheat of,cheat of,ล่อลวงเพื่อให้ได้มาซึ่ง,PHRV,หลอกลวงเพื่อให้ได้,cheat out of,
14508,cheat on,cheat on,หลอกลวง,PHRV,,step put on,
14509,cheat out of,cheat out of,ล่อลวงเพื่อให้ได้มาซึ่ง,PHRV,หลอกลวงเพื่อให้ได้,beguile out of; chisel out of; cozen out of; defraud of; do out of; gull out of; trick out of,
14510,chech back,chech back,พูดถึง,PHRV,"ตัดสินใจอีกครั้ง, ตรวจสอบอีก",,
14511,check back,check back,ตรวจสอบ,PHRV,,,
14512,check in,check in,ลงทะเบียนเพื่อเข้าพัก,PHRV,เช็คอิน,,
14513,check in,check in,เข้าทำงาน,PHRV,ลงเวลาทำงาน,clock in,
14514,check in,check in,ส่งคืน,PHRV,,,check out
14515,check off,check off,ทำเครื่องหมายแสดงว่าตรวจสอบแล้ว,PHRV,,tick off,
14516,check on,check on1,เริ่มเข้าทำงาน (ตามปกติ),PHRV,,clock in,
14517,check on,check on2,ตรวจสอบ,PHRV,,,
14518,check out,check out,จ่ายเงินเมื่อสิ้นสุดการเข้าพัก,PHRV,ชำระเงิน,book out,
14519,check over,check over,ตรวจสอบ,PHRV,,,
14520,check over,check over,ตรวจสุขภาพ,PHRV,,check up,
14521,check through,check through,ตรวจสอบ (โดยเฉพาะข้อเขียน),PHRV,ตรวจ,,
14522,check up,check up,ตรวจสุขภาพ,PHRV,,check over,
14523,cheek up,cheek up,แสดงกิริยาไม่สุภาพหรือหยาบคายกับ (คำไม่เป็นทางการ),PHRV,,,
14524,cheer for,cheer for,ส่งเสียงเชียร์,PHRV,"เชียร์, ให้กำลังใจกับ",,
14525,cheer on,cheer on,ให้กำลังใจกับ,PHRV,ส่งเสียงเชียร์,cheer for; pull for; root for,
14526,cheer up,cheer up,รู้สึกร่าเริงขึ้น,PHRV,ทำให้รื่นเริงขึ้น,bear up; brace up; buck up; chirk up; keep up; perk up; spunk up,
14527,cheese it,cheese it,หยุดทำอย่างนั้น (คำไม่เป็นทางการ),PHRV,หยุดเดี๋ยวนี้,,
14528,cheese it,cheese it,วิ่งหนี (คำไม่เป็นทางการ),PHRV,หนีไป (คำไม่เป็นทางการ),,
14529,cheese off,cheese off,รู้สึกเบื่อหน่าย (มักใช้รูป passive voice),PHRV,"เหนื่อยหน่าย, เฉื่อยชา",brown off; feed up; tire of,
14530,chew away,chew away,กินตลอด,PHRV,กินไม่หยุด,,
14531,chew away,chew away,กัดทำลายด้วยฟัน,PHRV,,,
14532,chew on,chew on,แทะ,PHRV,กัดซ้ำๆ,bite on,
14533,chew on,chew on,ทบทวน,PHRV,"พิจารณาซ้ำ, ไตร่ตรอง",bite on,
14534,chew out,chew out,ด่าว่า (คำไม่เป็นทางการ),PHRV,"ดุด่า, ว่ากล่าว",,
14535,chew over,chew over,ไตร่ตรองอย่างถี่ถ้วน,PHRV,,bite on; chew on,
14536,chew up,chew up,เคี้ยว (อาหาร) ให้เป็นชิ้นเล็กชิ้นน้อย,PHRV,เคี้ยวให้ละเอียด,,
14537,chew up,chew up,กัดทำลายด้วยฟัน,PHRV,"กัด, แทะ",,
14538,chew up,chew up,ดุด่า,PHRV,"ว่ากล่าว, ตำหนิ",tell off,
14539,chew up,chew up,กังวล (คำไม่เป็นทางการ),PHRV,วิตก,,
14540,chew upon,chew upon,แทะ,PHRV,กัดซ้ำๆ,chew on,
14541,chew upon,chew upon,ทบทวน,PHRV,"พิจารณาซ้ำ, ไตร่ตรอง",bite on,
14542,chicken out,chicken out,กลัว,PHRV,ตัดสินใจไม่ทำบางสิ่งเพราะว่ากลัว,,
14543,child's play,child's play,สิ่งง่ายๆ (คำไม่เป็นทางการ),IDM,"ของกล้วยๆ, ของหมูๆ",,
14544,chime in,chime in,พูดแทรก,PHRV,พูดขัดจังหวะ,,
14545,chime in with,chime in with,เข้ากันได้กับ,PHRV,เหมาะสมกับ,,
14546,chip away at,chip away at,ทำให้แตกเป็นเศษเล็กเศษน้อย,PHRV,,,
14547,chip in,chip in,พูดแทรก,PHRV,พูดขัดจังหวะ,,
14548,chip off,chip off,ทำให้แตกเป็นเศษเล็กเศษน้อย,PHRV,,,
14549,chirk up,chirk up,ทำให้รื่นเริงขึ้น,PHRV,,cheer up,
14550,chisel in,chisel in,เข้าร่วมโดยไม่ได้รับเชิญ (คำไม่เป็นทางการ),PHRV,,,
14551,chisel out of,chisel out of,หลอกลวง,PHRV,"ล่อลวง, ฉ้อโกง",cheat out of,
14552,chivvy along,chivvy along,กระตุ้น (คำไม่เป็นทางการ),PHRV,"เร่ง, เร่งเร้า",chivy along; jolly along,
14553,chivvy into,chivvy into,กระตุ้น (คำไม่เป็นทางการ),PHRV,"เร่ง, เร่งเร้า",chivy into,
14554,chivvy up,chivvy up,พร่ำสอน (คำไม่เป็นทางการ),PHRV,,chivy up,
14555,chivy along,chivy along,กระตุ้น (คำไม่เป็นทางการ),PHRV,"เร่ง, เร่งเร้า",chivvy along; jolly along,
14556,chivy into,chivy into,กระตุ้น (คำไม่เป็นทางการ),PHRV,"เร่ง, เร่งเร้า",chivvy into,
14557,chivy up,chivy up,พร่ำสอน (คำไม่เป็นทางการ),PHRV,,chivvy up,
14558,chock up,chock up,เต็มไปด้วย,PHRV,"แน่นไปด้วย, เบียดเสียด, แออัดไปด้วย",,
14559,chock up,chock up,ใส่ให้แน่น,PHRV,,choke down,
14560,choke back,choke back,ควบคุม,PHRV,,choke down,
14561,choke down,choke down,กลืนด้วยความยากลำบาก,PHRV,,,
14562,choke down,choke down,ควบคุม,PHRV,,choke back,
14563,choke down,choke down,กล้ำกลืน,PHRV,ยอมรับอย่างยากลำบาก,choke back,
14564,choke off,choke off,ขัดขวาง,PHRV,,,
14565,choke off,choke off,พูดให้ท้อถอย,PHRV,พูดให้เสียกำลังใจ,,
14566,choke off,choke off,ดุด่า (คำไม่เป็นทางการ),PHRV,"ว่ากล่าว, ตำหนิ",tell off,
14567,choke out of,choke out of,ทำให้หายใจไม่ออก,PHRV,,,
14568,choke up,choke up,ทำให้แน่น,PHRV,ทำให้อุดตัน,chock up; clog up,
14569,choke up,choke up,โกรธมาก (มักใช้รูป passive voice),PHRV,,,
14570,choke with,choke with,ทำให้เบียดเสียด,PHRV,ทำให้แออัด,,
14571,choke with,choke with,จุกเสียด,PHRV,จุกจนพูดไม่ออก,,
14572,choose among,choose among,คัดเลือกจาก,PHRV,,,
14573,choose as,choose as,เลือกให้เป็น,PHRV,แต่งตั้งให้เป็น,choose for,
14574,choose between,choose between,เลือกระหว่าง,PHRV,,,
14575,choose for,choose for,เลือกให้เป็น,PHRV,แต่งตั้งให้เป็น,choose as; select as,
14576,choose from,choose from,คัดเลือกจาก,PHRV,คัดสรรจาก,select from,
14577,choose sides,choose sides,กำหนดผู้เล่นและแบ่งข้างกัน,IDM,,,
14578,chop about,chop about,ทำให้ฉีกขาด,PHRV,,,
14579,chop and change,chop and change,เปลี่ยนแปลงไม่หยุด,IDM,ยังเปลี่ยนตลอด,,
14580,chop around,chop around,เปลี่ยนทิศทาง,PHRV,,,
14581,chop back,chop back,ตัดออก,PHRV,"โค่น, หั่น, ฟัน",,
14582,chop down,chop down,ฟันด้วยขวาน,PHRV,ตัดออก,hack down; hew down,
14583,chop into,chop into,ตัดหรือหั่นเป็นชิ้นเล็กชิ้นน้อย,PHRV,,,
14584,chop off,chop off,ฟันด้วยขวาน,PHRV,ตัดออก,,
14585,chop off,chop off,หยุด (บางคน) ไม่ให้พูด,PHRV,ทำให้เลิกพูด,,
14586,chop round,chop round,เปลี่ยนทิศทาง,PHRV,,chop around,
14587,chop round,chop round,เปลี่ยนทิศทาง,PHRV,,,
14588,chop up,chop up,ตัดหรือหั่นเป็นชิ้นเล็กชิ้นน้อย,PHRV,,hash up,
14589,chuck about,chuck about,ทำให้กระจัดกระจาย (คำไม่เป็นทางการ),PHRV,,fling about; hurl about; throw about; toss about,
14590,chuck about,chuck about,โบก (แขนหรือขา),PHRV,แกว่ง (แขนหรือขา),fling about,
14591,chuck around,chuck around,ทำให้กระจัดกระจาย (คำไม่เป็นทางการ),PHRV,,fling about; hurl about; throw about; toss about,
14592,chuck around,chuck around,โบก (แขนหรือขา),PHRV,แกว่ง (แขนหรือขา),fling about,
14593,chuck at,chuck at,ขว้างใส่ (คำไม่เป็นทางการ),PHRV,"โยนใส่, เขวี้ยงใส่",throw at,
14594,chuck away,chuck away,โยนทิ้ง (คำไม่เป็นทางการ),PHRV,ขว้างทิ้ง,throw out,
14595,chuck away,chuck away,ปล่อยให้เสียเปล่า (คำไม่เป็นทางการ),PHRV,"สูญเสีย, สูญเปล่า",throw away,
14596,chuck away on,chuck away on,สูญเปล่ากับ (คำไม่เป็นทางการ),PHRV,เสียไปโดยเปล่าประโยชน์กับ,fling away on; hurl away on; throw away on,
14597,chuck down,chuck down,ขว้างลงไปที่ (คำไม่เป็นทางการ),PHRV,โยนลงไปหา,fling down; hurl down; throw down; toss down,
14598,chuck down,chuck down,เหวี่ยงตัว (เหยียดยาวไปบนพื้น) (คำไม่เป็นทางการ),PHRV,,fling down; fling to,
14599,chuck down one's tools,chuck down one's tools,ประท้วงต่อ (คำไม่เป็นทางการ),IDM,,,
14600,chuck in,chuck in,โยนเข้าไป (คำไม่เป็นทางการ),PHRV,"โยนเข้า, ขว้างเข้าไป",fling in; pitch in; throw in; toss in,
14601,chuck in,chuck in,หยุดทำบางสิ่ง (คำไม่เป็นทางการ),PHRV,เลิกทำ,give up,
14602,chuck in one's cards,chuck in one's cards,เลิกเล่นไพ่,IDM,,fling in; throw in,
14603,chuck in one's cards,chuck in one's cards,ยอมแพ้,IDM,,fling in; throw in,
14604,chuck in one's hand,chuck in one's hand,เลิกเล่นไพ่,IDM,,fling in; throw in,
14605,chuck in one's hand,chuck in one's hand,ยอมแพ้,IDM,,fling in; throw in,
14606,chuck in the towel,chuck in the towel,ยอมแพ้ (คำไม่เป็นทางการ),IDM,,,
14607,chuck it,chuck it,หยุดเดี๋ยวนี้ (คำไม่เป็นทางการ),IDM,หยุดก่อน,,
14608,chuck it in,chuck it in,หยุดเดี๋ยวนี้ (คำไม่เป็นทางการ),IDM,หยุดก่อน,cut out,
14609,chuck off,chuck off,เหวี่ยงออก (คำไม่เป็นทางการ),PHRV,โยนออก,cast off; fling off; shake off; throw off; toss off,
14610,chuck off,chuck off,หนีรอดจากการตามล่า (คำไม่เป็นทางการ),PHRV,,fling off; shake off; throw off,
14611,chuck off,chuck off,หลุดพ้นจาก (สิ่งไม่ดี) (คำไม่เป็นทางการ),PHRV,,fling off,
14612,chuck one's money about,chuck one's money about,ใช้จ่ายอย่างฟุ่มเฟือย,IDM,,,
14613,chuck one's money around,chuck one's money around,ใช้จ่ายอย่างฟุ่มเฟือย,IDM,,,
14614,chuck one's weight about,chuck one's weight about,พยายามให้อำนาจเหนือคนอื่น,IDM,พยายามข่มคนอื่น,fling about,
14615,chuck one's weight around,chuck one's weight around,พยายามให้อำนาจเหนือคนอื่น,IDM,พยายามข่มคนอื่น,fling about,
14616,chuck oneself at,chuck oneself at,พยายามเอาชนะใจ (เพื่อให้ได้ความรักมา),PHRV,,fling at; hurl at,
14617,chuck out,chuck out,โยนออกไป (คำไม่เป็นทางการ),PHRV,,fling out; pitch out; throw out; toss out,
14618,chuck out,chuck out,กำจัด,PHRV,,throw ot,
14619,chuck out,chuck out,หลบหนี (เพราะมีความผิด) (คำไม่เป็นทางการ),PHRV,,,
14620,chuck out,chuck out,ออกจากบ้าน,PHRV,,throw out,
14621,chuck out,chuck out,ไม่ยอมรับ,PHRV,ปฏิเสธ,fling out; hurl out,
14622,chuck out,chuck out,ทำให้เสีย,PHRV,ทำให้พัง,throw out,
14623,chuck together,chuck together,รีบๆเก็บมารวมกัน (คำไม่เป็นทางการ),PHRV,กอบมารวมกันอย่างรีบๆ,fling together; throw together; toss together,
14624,chuck together,chuck together,รีบเขียน (คำไม่เป็นทางการ),PHRV,"รีบทำ, รีบสร้าง",throw together,
14625,chuck together,chuck together,ทำให้มาพบกัน (คำไม่เป็นทางการ),PHRV,ทำให้เจอกัน,bring together,
14626,chuck under,chuck under,แตะหรือสัมผัสเบาๆ,PHRV,,,
14627,chuck up,chuck up,ป่วย (คำไม่เป็นทางการ),PHRV,อาเจียน,,
14628,chuck up,chuck up,เลิกทำบางสิ่ง,PHRV,"หยุดทำ, หยุด, ยกเลิก",give up,
14629,chuck up,chuck up,รีบสร้าง,PHRV,,throw together,
14630,chuck up,chuck up,สูญเสีย,PHRV,,throw away,
14631,chuck up the sponge,chuck up the sponge,ยอมแพ้,IDM,,throw up,
14632,chum up,chum up,เข้ากันได้ดี,PHRV,เป็นมิตรกับ,pal up,
14633,churn into,churn into,ปั่น,PHRV,กวน,churn to,
14634,churn out,churn out,กวนให้เป็นเนย,PHRV,,,
14635,churn out,churn out,ผลิต,PHRV,สร้างมาเป็นจำนวนมากโดยเครื่องจักร,,
14636,churn to,churn to,ปั่น,PHRV,กวน,churn into,
14637,churn up,churn up,หมุนวนอย่างแรง (เช่นกระแสน้ำ),PHRV,,,
14638,circle about,circle about1,บินวน,PHRV,หมุนวน,circle around,
14639,circle about,circle about2,วนเวียนอยู่รอบๆ,PHRV,,,
14640,circle around,circle around1,บินวน,PHRV,หมุนวน,circle about,
14641,circle around,circle around2,วนเวียนอยู่รอบๆ,PHRV,,,
14642,circle over,circle over,บินวน,PHRV,,,
14643,circle round,circle round1,บินวน,PHRV,,circle about,
14644,circle round,circle round2,วนเวียนอยู่รอบๆ,PHRV,,,
14645,cite for,cite for,ได้รับคำชมเชย (ปกติใช้รูป passive voice),PHRV,ได้รับการสดุดี,,
14646,claim against,claim against,เรียกร้องให้จ่าย,PHRV,อ้างสิทธิ์ให้จ่าย,,
14647,claim back,claim back,เรียกร้องเงินคืน,PHRV,,,
14648,claim for,claim for,เรียกร้องให้จ่ายสำหรับ,PHRV,,,
14649,claim for,claim for,อ้างในสิทธิ์ของ,PHRV,,,
14650,claim from,claim from,เรียกร้องค่าชดเชย,PHRV,,,
14651,clam up,clam up,เงียบ,PHRV,"นิ่งเงียบ, สงบเงียบ",shut up,
14652,clamour against,clamour against,ตะโกนร้องต่อต้าน,PHRV,โห่ร้องต่อต้าน,,
14653,clamour down,clamour down,ส่งเสียงดังกลบ,PHRV,โห่ร้องกลบ,,
14654,clamour for,clamour for,โห่ร้องแสดงความต้องการ,PHRV,ส่งเสียงเรียกร้อง,yammer for,
14655,clamp down on,clamp down on,จำกัด,PHRV,ควบคุม,crack down on,
14656,clap in,clap in,ถูกจับเข้าคุก (ปกติใช้รูป passive voice) (คำไม่เป็นทางการ),PHRV,,,
14657,clap into,clap into,ถูกจับเข้าคุก (ปกติใช้รูป passive voice) (คำไม่เป็นทางการ),PHRV,,,
14658,clap on,clap on1,สวมอย่างเร่งรีบ,PHRV,รีบสวมใส่,jam on; slam on; slap on,
14659,clap on,clap on1,รีบใส่,PHRV,"รีบดัน, รีบผลัก",,
14660,clap on,clap on2,ตีเบาๆ (เพื่อทักทาย),PHRV,ตบเบาๆ,slam on,
14661,clap on,clap on2,เพิ่มราคาของบางสิ่ง,PHRV,,slap on,
14662,clap on,clap on2,เห็น,PHRV,ดู,lay on; set on,
14663,clap out,clap out,ปรบมือ,PHRV,,,
14664,clap out,clap out,เหน็ดเหนื่อยมาก,PHRV,เหนื่อยมาก,,
14665,clap to,clap to,ปิดเสียงดัง,PHRV,,,
14666,clap to,clap to,ปิดเสียงดัง,PHRV,,,
14667,clap together,clap together,รีบ,PHRV,,fit up,
14668,clap up,clap up,ตกลงเซ็นสัญญา,PHRV,,,
14669,clash against,clash against,ชนอย่างเเรง,PHRV,กระแทก,,
14670,clash against,clash against,ไม่เข้ากับ,PHRV,ขัดกับ,clash with; jar with,
14671,clash against,clash against,ไม่เห็นด้วยกับ,PHRV,ขัดแย้งกับ,conflict with,
14672,clash against,clash against,ต่อสู้กับ,PHRV,,clash with,
14673,clash on,clash on,ไม่เห็นด้วยกับ,PHRV,ขัดแย้งในเรื่อง,clash over,
14674,clash over,clash over,ไม่เห็นด้วยกับ,PHRV,ขัดแย้งในเรื่อง,clash on,
14675,clash with,clash with,ไม่เข้ากับ,PHRV,ไม่กลมกลืนกับ,clash against; jar with,
14676,clash with,clash with,เกิดขึ้นเวลาเดียวกัน,PHRV,เกิดร่วมกับ,coincide with,
14677,clash with,clash with,ไม่เห็นด้วยอย่างรุนแรงกับ,PHRV,,conflict with,
14678,class with,class with,จัดอยู่ในประเภท,PHRV,จัดอยู่ใน,,
14679,clatter about,clatter about,ทำให้เกิดเสียงดัง,PHRV,,,
14680,claw back,claw back,เรียกคืน,PHRV,เก็บคืนไป,,
14681,claw off,claw off,แล่นไปทางที่มีลม,PHRV,แล่นตามลม,,
14682,clean down,clean down,"ทำความสะอาด (ใช้น้ำล้าง, ใช้แปรงปัดกวาด)",PHRV,"ล้างออกหมด, ขจัดออกหมด",,
14683,clean of,clean of,ทำความสะอาด,PHRV,"ล้างออกหมด, ขจัดออกหมด",,
14684,clean off,clean off,ล้างออกหมด,PHRV,"ขจัดออก, กำจัดออก",,
14685,clean out,clean out,จัดเตรียมให้เรียบร้อย,PHRV,ทำให้เป็นระเบียบเรียบร้อย,clear out,
14686,clean out,clean out,ขจัดออก (สิ่งสกปรก),PHRV,"ทำความสะอาดให้หมด, ล้างออก",clear out,
14687,clean out,clean out,ทำให้หมดเงิน (การปล้นหรือขโมย) (คำไม่เป็นทางการ),PHRV,กวาดไปหมด,clear out,
14688,clean out,clean out,ขโมย (คำไม่เป็นทางการ),PHRV,,clear out,
14689,clean out,clean out,กำจัด,PHRV,"ขจัดออกไป, ทำให้ว่าง",clear out,
14690,clean out,clean out,หนีไปโดยไม่จ่ายเงิน (คำไม่เป็นทางการ),PHRV,,clear out,
14691,clean out,clean out,รีบจากไป,PHRV,รีบผละไป,push off,
14692,clean up,clean up,ทำความสะอาดจนหมด,PHRV,"ล้างออกหมด, ขจัดออกหมด",clear up; mop up,
14693,clean up,clean up,ขจัดออก,PHRV,"กำจัด, ล้างออก",clear up,
14694,clean up,clean up,แก้ไขหรือขจัดสิ่งไม่ถูกต้อง,PHRV,,,
14695,clean up,clean up,ได้เงินมาโดยผิดกฎหมาย (คำไม่เป็นทางการ),PHRV,,,
14696,clean up,clean up,จบสิ้นการทำลาย (ทางทหาร),PHRV,ทำให้พ่ายแพ้แล้ว,wipe up,
14697,clean up on,clean up on,ทำให้พ่ายแพ้ (คำไม่เป็นทางการ),PHRV,,,
14698,clean up on,clean up on,ทำให้พ่ายแพ้ (คำไม่เป็นทางการ),PHRV,,,
14699,clear away,clear away,หายไป,PHRV,"มลายไป, หมดไป",clear off,
14700,clear away,clear away,ย้ายออกไป,PHRV,"เอาออกไป, ขจัดออกไป, กำจัด",clear off,
14701,clear of,clear of,กำจัด,PHRV,"ทำให้ว่าง, ทำให้โล่ง",,
14702,clear of,clear of,พิสูจน์ว่าไม่มีความผิด,PHRV,,,
14703,clear off,clear off,หายไป,PHRV,"มลายไป, หมดไป",clear away,
14704,clear off,clear off,เก็บออกไปจาก (ปกติบนโต๊ะ),PHRV,"เอาออกไป, ขจัดออกไป",clear away,
14705,clear off,clear off,ออกไปให้หมด,PHRV,ออกไปให้พ้น,push off,
14706,clear off,clear off,จ่ายหนี้สินทั้งหมด,PHRV,,,
14707,clear off,clear off,ขาย(ของ)ถูก,PHRV,,,
14708,clear off,clear off,ทำให้เสร็จ,PHRV,ทำให้จบ,clear up,
14709,clear one's mind of,clear one's mind of,พยายามลืม,IDM,,,
14710,clear out,clear out,กำจัด,PHRV,"ขจัดออกไป, ทำให้ว่าง",clean out,
14711,clear out,clear out,เอาออกไป (คำไม่เป็นทางการ),PHRV,ย้ายออกไป,push off,
14712,clear out,clear out,ออกจากบ้าน (คำไม่เป็นทางการ),PHRV,,cut out,
14713,clear someone's name,clear someone's name,พิสูจน์ว่าไม่มีความผิด,IDM,,,
14714,clear the air,clear the air,ขจัดข้อสงสัย,IDM,,,
14715,clear the table,clear the table,เก็บจานชามจากโต๊ะอาหาร,IDM,เก็บโต๊ะ,,
14716,clear up,clear up,ทำความสะอาดจนหมด,PHRV,"ล้างออกหมด, ขจัดออกหมด",clean up; mop up,
14717,clear up,clear up,ย้ายออกไป,PHRV,ย้าย,clean up,
14718,clear up,clear up,ทำให้เสร็จ,PHRV,,clear off,
14719,clear up,clear up,ทำให้สดใสขึ้น,PHRV,,,
14720,clear up,clear up,หาคำตอบของ,PHRV,ไขปริศนาของ,,
14721,clear with,clear with,ผ่านการอนุมัติจาก,PHRV,ยอมรับจาก,,
14722,cleave to,cleave to,ศรัทธาต่อ,PHRV,"ซื่อสัตย์ต่อ, มั่นคงต่อ",adhere to,
14723,clew down,clew down,ลดใบเรือลง,PHRV,,clue down,
14724,clew up,clew up,ยกใบเรือขึ้น,PHRV,,clue up,
14725,click for,click for,ได้โอกาสในเรื่อง (คำไม่เป็นทางการ),PHRV,มีโอกาสดีในเรื่อง,,
14726,click with,click with,เป็นที่เข้าใจสำหรับ (คำไม่เป็นทางการ),PHRV,เข้ากันได้ดีกับ,,
14727,climb down,climb down,ปีนลงมา,PHRV,,,
14728,climb on,climb on,ปีนขึ้นไป,PHRV,,,
14729,climb on the bandwagon,climb on the bandwagon,ลอกเลียน,IDM,เลียนแบบ,jump on,
14730,climb out of,climb out of,ปีนออกมา,PHRV,ตะกายขึ้นมา,,
14731,cling onto,cling onto,ยึดติดกับ,PHRV,เกาะติดกับ,keep by; stay by; stick to; stick with,
14732,cling to,cling to,ยึดติดกับ,PHRV,"ติดกับ, เกาะติดกับ",keep by; stay by; stick to,
14733,cling to,cling to,เก็บรักษา,PHRV,,cling onto; hang onto,
14734,cling to,cling to,ซื่อสัตย์ต่อ,PHRV,,adhere to,
14735,cling together,cling together,เกาะติดกัน,PHRV,"ขึดติดกัน, ติดกัน, ยึดติดกัน",stick together,
14736,cling together,cling together,ยืนหยัดร่วมกับ,PHRV,"จงรักภักดีต่อ, ซื่อสัตย์กับ",stick together,
14737,clip on,clip on,ผูกไว้,PHRV,ติดไว้,,
14738,clip out,clip out,ตัดออก,PHRV,ตัดทอนออก,cut out,
14739,clip someone's wings,clip someone's wings,จำกัดอิสรภาพ,IDM,,,
14740,cloak in,cloak in,คลุมไว้หลวมๆ ด้วย,PHRV,สวมไว้หลวมๆ,,
14741,cloak in,cloak in,ซ่อนอยู่ใน,PHRV,,,
14742,cloak-and-dagger,cloak-and-dagger,ลับๆ,IDM,"ไม่เปิดเผย, ซึ่งแอบซ่อน",,
14743,clock in,clock in,เริ่มทำงาน,PHRV,"เริ่มงาน, เข้างาน",check in; check on; check out; clock off; clock on; punch in,
14744,clock off,clock off,เลิกงาน,PHRV,"เสร็จงาน, สิ้นสุดการทำงาน",clock out,
14745,clock on,clock on,เริ่มงาน,PHRV,,clock in,
14746,clock out,clock out,เลิกงาน,PHRV,"เสร็จงาน, สิ้นสุดการทำงาน",check off; check on; check out; clock in; clock off; ring out,
14747,clock up,clock up,บันทึกระยะทาง (เช่น รถยนต์),PHRV,,log up,
14748,clock up,clock up,บันทึก (ความสำเร็จ),PHRV,"บันทึกไว้ (ความสำเร็จ), จดบันทึก (ความสำเร็จ)",chalk up; log up; notch up,
14749,clog up,clog up,อุดตันด้วย (ปกติใช้รูป passive voice),PHRV,ปิดกั้นไว้ด้วย,chock up; choke up,
14750,clog with,clog with,อุดตันด้วย,PHRV,,,
14751,close about,close about,ใกล้เข้ามาทีละน้อย,PHRV,คืบคลานเข้ามา,,
14752,close around,close around,ใกล้เข้ามาทีละน้อย,PHRV,คืบคลานเข้ามา,,
14753,close at hand,close at hand,ใกล้มือ,IDM,ใกล้แถวนี้,,
14754,close down,close down,ปิดกิจการ,PHRV,"ปิดดำเนินการ, เลิก",shut down,
14755,close down,close down,ไม่ถ่ายทอด (วิทยุหรือโทรทัศน์),PHRV,"เลิดกระจายเสียง, งดถ่ายทอด",,
14756,close down,close down,เข้ามาใกล้,PHRV,"ขยับเข้าใกล้, เคลื่อนเข้ามา",close in,
14757,close in,close in,ทำให้ปิด,PHRV,,,
14758,close in,close in,เข้ามาใกล้มากขึ้น,PHRV,"ขยับเข้าใกล้, เคลื่อนเข้ามา",close down; close in on,
14759,close in,close in,ทำให้บาดเจ็บ (คำไม่เป็นทางการ),PHRV,,,
